id,local_fulltext_checked,figure_captions_detected,publisher_status,media_result,included_or_linked_items,checked_date
ezaki2000pen,yes,4,restricted,displayed,ezaki2000pen-paper-illustration | ezaki2000pen-paper-slideshow,2026-09-09
luk2000digital,yes,3,restricted,displayed,luk2000digital-paper-illustration | luk2000digital-paper-slideshow,2026-09-09
lin2006design,yes,6,reachable,displayed,lin2006design-paper-illustration | lin2006design-paper-slideshow,2026-09-09
lin2008designing,yes,2,reachable,displayed,lin2008designing-paper-illustration | lin2008designing-paper-slideshow,2026-09-09
fu2009fast,yes,5,restricted,displayed,fu2009fast-paper-illustration | fu2009fast-paper-slideshow,2026-09-09
kotani2010japanese,yes,14,reachable,displayed,kotani2010japanese-paper-illustration | kotani2010japanese-paper-slideshow,2026-09-09
minett2010assistive,yes,6,restricted,displayed,minett2010assistive-paper-illustration | minett2010assistive-paper-slideshow,2026-09-09
wang2010accurate,yes,5,restricted,displayed,wang2010accurate-paper-illustration | wang2010accurate-paper-slideshow,2026-09-09
kotani2011proficiency,yes,13,restricted,displayed,kotani2011proficiency-paper-illustration | kotani2011proficiency-paper-slideshow,2026-09-09
wu2012text,yes,2,reachable,displayed,wu2012text-paper-illustration | wu2012text-paper-slideshow,2026-09-09
hamano2013usability,yes,7,restricted,displayed,hamano2013usability-paper-illustration | hamano2013usability-paper-slideshow,2026-09-09
miura2014usage,yes,3,reachable,displayed,miura2014usage-paper-illustration | miura2014usage-paper-slideshow,2026-09-09
shoji2014japanese,yes,11,reachable,displayed,shoji2014japanese-paper-illustration | shoji2014japanese-paper-slideshow,2026-09-09
zhou2014older,yes,6,restricted,displayed,zhou2014older-paper-illustration | zhou2014older-paper-slideshow,2026-09-09
lin2015designs,yes,6,restricted,displayed,lin2015designs-paper-illustration | lin2015designs-paper-slideshow,2026-09-09
tang2015touch,yes,3,reachable,displayed,tang2015touch-6m5KuF5MIbY | tang2015touch-6hGR3kh7HGw | tang2015touch-paper-illustration | tang2015touch-paper-slideshow,2026-09-09
wang2015preliminary,yes,1,reachable,displayed,wang2015preliminary-paper-illustration | wang2015preliminary-paper-slideshow,2026-09-09
xie2017attitude,yes,0,restricted,displayed,xie2017attitude-paper-illustration | xie2017attitude-paper-slideshow,2026-09-09
jabeen2018sak,yes,7,restricted,displayed,jabeen2018sak-paper-illustration | jabeen2018sak-paper-slideshow,2026-09-09
jabeen2019modeling,yes,12,restricted,displayed,jabeen2019modeling-paper-illustration | jabeen2019modeling-paper-slideshow,2026-09-09
liao2019enabling,yes,0,restricted,displayed,liao2019enabling-paper-illustration | liao2019enabling-paper-slideshow,2026-09-09
lv2019brain,yes,9,restricted,displayed,lv2019brain-paper-illustration | lv2019brain-paper-slideshow,2026-09-09
shi2019vipboard,yes,12,restricted,displayed,shi2019vipboard-paper-illustration | shi2019vipboard-paper-slideshow,2026-09-09
yu2019asynchronous,yes,3,restricted,displayed,yu2019asynchronous-paper-illustration | yu2019asynchronous-figure-slideshow,2026-09-09
han2020write,yes,5,restricted,displayed,han2020write-video | han2020write-paper-illustration | han2020write-paper-slideshow,2026-09-09
wang2020effects,yes,4,restricted,displayed,wang2020effects-paper-illustration | wang2020effects-paper-slideshow,2026-09-09
sun2022design,yes,0,restricted,displayed,sun2022design-paper-illustration | sun2022design-paper-slideshow,2026-09-09
weng2022establishment,yes,1,reachable,displayed,weng2022establishment-paper-illustration | weng2022establishment-paper-slideshow,2026-09-09
young2023enabling,yes,0,reachable,displayed,young2023enabling-paper-illustration | young2023enabling-paper-slideshow,2026-09-09
