id,views,basis,contributionType,evaluationType
ezaki2000pen,algorithms | interaction,joint_model_and_input_system,system,corpus_benchmark
luk2000digital,interaction,input_control_user_or_evaluation_evidence,system,design_only
lin2006design,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
lin2008designing,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
fu2009fast,algorithms | interaction,joint_model_and_input_system,system,corpus_benchmark
kotani2010japanese,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
minett2010assistive,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
wang2010accurate,algorithms | interaction,joint_model_and_input_system,technique,corpus_benchmark
kotani2011proficiency,interaction,input_control_user_or_evaluation_evidence,evaluation,lab_user_study
wu2012text,interaction,input_control_user_or_evaluation_evidence,user-study,lab_user_study
hamano2013usability,interaction,input_control_user_or_evaluation_evidence,evaluation,lab_user_study
miura2014usage,interaction,input_control_user_or_evaluation_evidence,user-study,field_study
shoji2014japanese,interaction,input_control_user_or_evaluation_evidence,system,simulation
zhou2014older,interaction,input_control_user_or_evaluation_evidence,user-study,lab_user_study
lin2015designs,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
tang2015touch,interaction,input_control_user_or_evaluation_evidence,user-study,lab_user_study
wang2015preliminary,interaction,input_control_user_or_evaluation_evidence,user-study,field_study
xie2017attitude,interaction,input_control_user_or_evaluation_evidence,user-study,lab_user_study
jabeen2018sak,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
jabeen2019modeling,interaction,input_control_user_or_evaluation_evidence,technique,lab_user_study
liao2019enabling,interaction,input_control_user_or_evaluation_evidence,user-study,field_study
lv2019brain,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
shi2019vipboard,algorithms | interaction,joint_model_and_input_system,system,lab_user_study
yu2019asynchronous,algorithms | interaction,joint_model_and_input_system,technique,lab_user_study
han2020write,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
wang2020effects,interaction,input_control_user_or_evaluation_evidence,user-study,lab_user_study
sun2022design,interaction,input_control_user_or_evaluation_evidence,system,design_only
weng2022establishment,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
young2023enabling,interaction,input_control_user_or_evaluation_evidence,user-study,field_study
chen2024handwriting,interaction,input_control_user_or_evaluation_evidence,user-study,lab_user_study
nonoka2024study,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
ahn2025rectus,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
liu2025influence,interaction,input_control_user_or_evaluation_evidence,user-study,lab_user_study
fukushima2000online,algorithms,conversion_recognition_data_or_infrastructure,technique,corpus_benchmark
ichimura2000kana,algorithms,conversion_recognition_data_or_infrastructure,system,corpus_benchmark
tokuno2002context,algorithms,conversion_recognition_data_or_infrastructure,technique,corpus_benchmark
ren2003candidate,interaction,input_control_user_or_evaluation_evidence,evaluation,lab_user_study
houser2004japanese,interaction,input_control_user_or_evaluation_evidence,user-study,lab_user_study
huang2004statistical,algorithms,conversion_recognition_data_or_infrastructure,technique,corpus_benchmark
sato2004menu,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
komatsu2005corpus,algorithms | interaction,joint_model_and_input_system,technique,field_study
araki2006evaluation,algorithms,conversion_recognition_data_or_infrastructure,evaluation,corpus_benchmark
araki2006evaluationb,algorithms,conversion_recognition_data_or_infrastructure,evaluation,corpus_benchmark
doo2006korean,interaction,input_control_user_or_evaluation_evidence,technique,simulation
itoh2006comparative,interaction,input_control_user_or_evaluation_evidence,evaluation,lab_user_study
ota2007online,algorithms,conversion_recognition_data_or_infrastructure,technique,corpus_benchmark
sakurada2007japanese,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
sano2007recognition,algorithms,conversion_recognition_data_or_infrastructure,technique,heuristic
tonouchi2007text,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
ehara2008multilingual,algorithms,conversion_recognition_data_or_infrastructure,system,corpus_benchmark
go2008itone,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
ilinkin2008design,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
mladenov2008integrated,algorithms | interaction,joint_model_and_input_system,system,design_only
miyao2009writer,algorithms,conversion_recognition_data_or_infrastructure,technique,corpus_benchmark
shin2009multi,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
ilinkin2010evaluation,interaction,input_control_user_or_evaluation_evidence,evaluation,lab_user_study
kato2010kana,algorithms,conversion_recognition_data_or_infrastructure,technique,corpus_benchmark
kimioka2011niboshi,interaction,input_control_user_or_evaluation_evidence,system,lab_user_study
ikegami2012modeless,algorithms | interaction,joint_model_and_input_system,technique,corpus_benchmark
